Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MXC,Mexco Energy Corporation Common Stock,$7.3601,0.0901,1.239%,15247669.00,United States,,29027,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$10.61,0.18,1.726%,59234251.00,United States,2017,17033,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.6062,0.0082,1.371%,310853418.00,Canada,,3384183,,
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$1.6201,-0.0099,-0.607%,46281879.00,United States,,110970,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBA,New Beginnings Acquisition Corp. Common Stock,$10.02,0.00,0.00%,149498400.00,,2020,79,,
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$16.39,-0.29,-1.739%,308428593.00,United States,2002,12292,,
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$12.65,0.04,0.317%,64229325.00,United States,2002,8262,,
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$13.90,0.04,0.289%,77159512.00,United States,2002,5344,,
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.7956,-0.0062,-0.773%,33242224.00,United States,2007,143903,Health Care,Major Pharmaceuticals
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$59.00,0.00,0.00%,215509064.00,United States,,64,Consumer Services,Building operators
NES,Nuverra Environmental Solutions Inc. Common Stock,$2.0905,-0.0028,-0.134%,33453172.00,United States,2017,2297,Public Utilities,Water Supply
NG,Novagold Resources Inc.,$9.31,0.09,0.976%,3084693323.00,Canada,,252657,Basic Industries,Precious Metals
NGD,New Gold Inc.,$1.70,0.03,1.796%,1150693955.00,Canada,,2494536,,
NHC,National HealthCare Corporation Common Stock,$69.79,0.45,0.649%,1073320300.00,United States,,11339,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$12.80,0.02,0.156%,250119488.00,United States,,35367,,
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$4.49,0.09,2.045%,254398587.00,,2013,82617,,
NNVC,NanoViricides Inc. Common Stock,$4.31,0.04,0.937%,46017870.00,United States,,35774,Health Care,Major Pharmaceuticals
NOG,Northern Oil and Gas Inc. Common Stock,$14.22,1.16,8.882%,858341198.00,United States,,760498,Energy,Oil & Gas Production
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$4.765,0.035,0.74%,225958211.00,United States,2003,78450,,
NSPR,InspireMD Inc. Common Stock,$6.4936,-0.4264,-6.162%,50993137.00,Israel,,711424,Health Care,Medical/Dental Instruments
NTIP,Network-1 Technologies Inc. Common Stock,$3.30,-0.07,-2.077%,79586526.00,United States,,5372,Capital Goods,Telecommunications Equipment
NXE,Nexgen Energy Ltd. Common Shares,$3.68,0.16,4.545%,1727148822.00,,,658959,,
OGEN,Oragenics Inc. Common Stock,$0.836,0.026,3.21%,91664155.00,United States,,1427691,Health Care,Major Pharmaceuticals
ORLA,Orla Mining Ltd. Common Shares,$3.74,-0.05,-1.319%,888949474.00,,2020,66752,,
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$29.04,0.00,0.00%,,United States,,67,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$26.69,-0.1099,-0.41%,,United States,,1034,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$24.85,0.00,0.00%,,United States,,1161,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$24.56,-0.29,-1.167%,,United States,,500,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$23.95,0.00,0.00%,,United States,,5,,
PED,Pedevco Corp. Common Stock,$1.3701,0.0201,1.489%,108842940.00,United States,,170447,,
PHGE,BiomX Inc. COmmon Stock,$6.6387,-0.1213,-1.794%,160961987.00,,2019,8430,Health Care,Major Pharmaceuticals
PLAG,Planet Green Holdings Corp. Common Stock,$1.8699,-0.1101,-5.561%,37416568.00,China,,174179,,
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$5.07,0.17,3.469%,374966624.00,Canada,,905343,,
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$2.975,0.015,0.507%,299682990.00,Canada,,286061,,
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$4.00,-1.83,-31.389%,181531324.00,Israel,,10754564,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$26.75,0.00,0.00%,,United States,,51,,
PRK,Park National Corporation Common Stock,$126.78,0.13,0.103%,2068230601.00,United States,,9209,Finance,Major Banks
PTK,PTK Acquisition Corp. Common Stock,$9.915,-0.05,-0.502%,142528125.00,United States,2020,1188,,
PTN,Palatin Technologies Inc. Common Stock,$0.6422,0.0095,1.502%,147728032.00,United States,,544656,Health Care,Major Pharmaceuticals
PW,Power REIT (MD) Common Stock,$47.935,1.485,3.197%,158148734.00,United States,,14073,Consumer Services,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$26.30,0.00,0.00%,,United States,,6,,
PZG,Paramount Gold Nevada Corp. Common Stock,$1.0499,0.0199,1.932%,38034251.00,United States,2015,42379,Basic Industries,Precious Metals
RCG,RENN Fund Inc Common Stock,$2.7201,0.0195,0.722%,16189916.00,United States,,7500,,
REI,Ring Energy Inc. Common Stock,$2.22,0.16,7.767%,220183123.00,United States,,1884565,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$33.16,-0.38,-1.133%,597593670.00,United States,,26227,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$4.50,0.10,2.273%,7596986.00,,2017,48768,Health Care,Hospital/Nursing Management
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$2.80,-0.03,-1.06%,,,,1900,,
RLGT,Radiant Logistics Inc. Common Stock,$6.70,0.01,0.149%,334782511.00,United States,,87534,Transportation,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$4.15,-0.13,-3.037%,13512317.00,,2018,53897,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$10.77,0.00,0.00%,365992645.00,United States,,173464,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$25.40,0.02,0.079%,0.00,United States,2019,745,Consumer Services,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$5.142,-0.078,-1.494%,114709119.00,United States,2017,169132,Consumer Services,Real Estate Investment Trusts
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.55,0.00,0.00%,0.00,United States,2019,29,Consumer Services,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$25.7889,0.0389,0.151%,0.00,United States,2020,2039,Consumer Services,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$0.8616,0.0214,2.547%,22196834.00,,2014,26399,Energy,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3585.1793,-14.6507,-0.407%,4161600843.00,United States,1996,229,,
SENS,Senseonics Holdings Inc. Common Stock,$2.1818,0.0818,3.895%,933624912.00,United States,,8193926,Health Care,Medical Specialities
SIF,SIFCO Industries Inc. Common Stock,$14.04,-0.38,-2.635%,83667575.00,United States,,11591,Capital Goods,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$8.87,0.05,0.567%,1281342141.00,,2018,273347,Capital Goods,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$13.8835,-0.6165,-4.252%,2303315286.00,Mexico,1993,1173,Basic Industries,Steel/Iron Ore
SMTS,Sierra Metals Inc. Common Stock,$3.6586,0.0886,2.482%,595658689.00,,,480287,Basic Industries,Precious Metals
SNMP,Evolve Transition Infrastructure LP Common Stock,$0.75,-0.01,-1.316%,42139034.00,United States,,176446,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$2.1593,-0.0307,-1.402%,14897704.00,United States,,42109,Health Care,Medical/Nursing Services
STXS,Stereotaxis Inc. Common Stock,$7.53,-0.13,-1.697%,557826007.00,United States,,88594,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$5.37,0.06,1.13%,941673598.00,,,459164,,
SVT,Servotronics Inc. Common Stock,$7.98,0.00,0.00%,19778486.00,United States,,47,Consumer Durables,Metal Fabrications
SYN,Synthetic Biologics Inc. Common Stock,$0.6164,0.0216,3.631%,79919080.00,United States,,1503267,Health Care,Major Pharmaceuticals
TGB,Taseko Mines Ltd. Common Stock,$2.01,0.00,0.00%,569065218.00,Canada,,1583499,,
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$1.075,0.015,1.415%,209526298.00,Canada,,57576,,
TKAT,Takung Art Co. Ltd. Common Stock,$32.04,0.24,0.755%,361134983.00,,,1512647,Consumer Services,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,$1.62,0.00,0.00%,59388690.00,United States,2015,521491,Consumer Durables,Specialty Chemicals
TMP,Tompkins Financial Corporation Common Stock,$78.31,-0.04,-0.051%,1167345556.00,United States,,7273,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$2.2622,-0.0278,-1.214%,326419113.00,Canada,,43857,,
TPHS,Trinity Place Holdings Inc. Common Stock,$1.99,-0.02,-0.995%,64560844.00,,,4252,Consumer Services,Real Estate
TRT,Trio-Tech International Common Stock,$4.611,-0.089,-1.894%,17109369.00,United States,,12376,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.5722,-0.0036,-0.625%,145836932.00,Canada,,638370,,
UAMY,United States Antimony Corporation Common Stock,$0.9355,0.0099,1.07%,96169494.00,United States,,773420,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$6.0499,-0.3301,-5.174%,378032932.00,United States,,1858083,,
UEC,Uranium Energy Corp. Common Stock,$3.015,0.215,7.679%,695029085.00,Canada,,2670418,Basic Industries,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$4.4535,-0.0865,-1.905%,43551431.00,United States,2015,2247,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.115,0.035,3.241%,211168847.00,Canada,,996914,,
USAS,Americas Gold and Silver Corporation Common Shares no par value,$2.2225,-0.0175,-0.781%,295684625.00,,2017,176084,,
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$34.3037,-0.1163,-0.338%,1910611121.00,United States,2004,87430,,
UUU,Universal Security Instruments Inc. Common Stock,$5.79,0.04,0.696%,13391616.00,United States,,7688,Miscellaneous,Diversified Manufacture
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$5.6464,0.2364,4.37%,801236294.00,,,1906204,,
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.38,0.00,0.00%,69557498.00,United States,1993,193,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$13.51,0.03,0.223%,61179265.00,United States,1993,4252,,
VGZ,Vista Gold Corp Common Stock,$1.08,-0.01,-0.917%,112102837.00,United States,,68096,,
VHAQ,Viveon Health Acquisition Corp. Common Stock,$9.94,0.05,0.506%,250053125.00,,2021,8056,,
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$12.14,-0.0197,-0.162%,538913429.00,United States,,97700,,
